Nome;Código;PER;CHT;CHP;CHD;CHE;TOT;FLX;OBR;OPT;A|B;EXT;FORM_BAS;FORM_HUM;FORM_TEC;FORM_CMP;CC_UO1;CC_SM2;CC_SAI3;CC_SD4;CC_SF5;CC_HW6;PREQ;CREQ;Elementos41;Níveis41;Elementos42;Níveis42;Disposições;Ementa;QEXTR
Programação Orientada a Objetos;FEELT!POO;3;30;30;0;0;60;True;True;False;A;False;False;False;True;False;False;True;False;False;False;False;FEELT!PP;;Análise e Design de Sistemas|Questões e Princípios de Segurança|Gestão de Dados e Informações;Análise|Aplicação|Aplicação;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Inventivo|Meticuloso|Colaborativo;;0
Arquitetura e Organização de Computadores;FEELT!AOC;4;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT!ESC;;Arquitetura e Organização de Computadores|Design Digital|Circuitos e Eletrônica;Aplicação|Compreensão|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise;Adaptável|Meticuloso|Responsável;;0
Atividades Curriculares de Extensão I;ACE1;4;0;0;0;90;90;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;;;;;;;;;0
Banco de Dados;FEELT!BD;4;15;45;0;0;60;True;True;False;A;False;False;False;True;False;False;True;False;False;False;False;FEELT!ED;;Gestão de Dados e Informação|Questões e Princípios de Segurança;Análise|Compreensão;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0
Circuitos Eletro Elétricos I;FEELT31301;4;75;0;0;0;75;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;INFIS39033;;Circuitos e Eletrônica;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0
Circuitos Eletro Elétricos I, Experimental de;FEELT31302;4;0;15;0;0;15;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31204;FEELT31301;Circuitos e Eletrônica;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0
Física Básica: Oscilações, Ondas e Óptica;INFIS31402;4;60;0;0;0;60;False;False;True;A;False;True;False;False;False;False;False;False;False;False;True;INFIS39033;INFIS39056;Processamento de Sinais;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Física Básica: Oscilações, Ondas e Óptica, Experimental de;INFIS39056;4;0;30;0;0;30;False;False;True;A;False;True;False;False;False;False;False;False;False;False;True;;INFIS31402;Processamento de Sinais;Compreensão;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Métodos Matemáticos;FAMAT31031;4;75;0;0;0;75;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31013;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Programação Funcional;FEELT!PF;3;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;;;Fundamentos de Programação|Linguagens de Programação|Estruturas de Dados; Algoritmos e Complexidade;Análise|Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Compreensão|Aplicação|Aplicação;Inventivo|Meticuloso|Autodirigido;0
Análise de Algoritmos;FEELT!AA;4;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!ED;;Estruturas de Dados; Algoritmos e Complexidade;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Pesquisa e Aprendizagem Independente;Aplicação|Avaliação|Aplicação;Inventivo|Meticuloso|Orientado por Propósito;0
Atividades Curriculares de Extensão II;ACE2;5;0;0;0;90;90;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE1;;;;;;;;0
Cálculo Numérico;FAMAT31032;5;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31013/FAMAT31022;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Eletrônica Analógica I;FEELT31401;5;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31301;;Circuitos e Eletrônica|Processamento de Sinais;Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0
Eletrônica Analógica I, Experimental de;FEELT31402;5;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;FEELT31401;Circuitos e Eletrônica|Processamento de Sinais;Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;;0
Engenharia de Software;FEELT!ESOF;5;45;0;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;True;False;False;FEELT!BD/FEELT!POO;;Processos de Software|Modelagem e Análise de Software|Qualidade de Software; Verificação e Validação;Análise|Análise|Aplicação;Pensamento Analítico e Crítico|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação;Adaptável|Colaborativo|Orientado por Propósito;0
Estatística;FAMAT31033;4;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;;0
Programação Web;FEELT!PW;5;30;15;0;0;45;False;False;False;A;False;False;False;True;False;False;True;False;False;False;False;FEELT!BD;;Análise e Design de Sistemas|Questões e Princípios de Segurança|Gestão de Dados e Informações;Análise|Aplicação|Aplicação;Pesquisa e Aprendizagem Independente|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Inventivo|Adaptável|Colaborativo;;0
Sistemas Operacionais;FEELT!SO;5;45;0;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PP/FEELT!AOC;;Sistemas Operacionais;Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação|Avaliação;Adaptável|Responsável|Meticuloso;;0
Atividades Curriculares de Extensão III;ACE3;6;0;0;0;75;75;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE2;;;;;;;;0
Sistemas Embarcados I;FEELT31523;6;45;30;0;0;75;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!AOC/FEELT31401/FEELT!SO;;Sistemas Embarcados|Tecnologia de Sistemas Integrados;Análise|Aplicação;Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Aplicação|Aplicação;Adaptável|Proativo|Responsável;;0
Sistemas Computacionais em Tempo Real;FEELT!SCTR;7;15;30;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31523;;Sistemas Embarcados|Tecnologia de Sistemas Integrados;Análise|Aplicação;Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Aplicação|Aplicação;Adaptável|Proativo|Responsável;;0
Inteligência Artificial, Ética e Sociedade;FEELT!IAES;3;30;0;0;0;30;True;True;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Compreensão;Perspectivas Éticas e Interculturais|Pensamento Analítico e Crítico;Compreensão|Aplicação;Responsável|Meticuloso|Profissional;;0
Fundamentos da Inteligência Artificial;FEELT!FIA;5;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FAMAT31033;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0
Sistemas Distribuídos;FEELT!SD;8;45;0;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31724;;Computação Paralela e Distribuída|Redes de Computadores;Aplicação|Aplicação;Resolução de Problemas e Solução de Erros|Comunicação Oral e Apresentação;Aplicação|Aplicação;Adaptável|Inventivo|Colaborativo;;0
Processamento Digital de Sinais;FEELT31628;6;45;15;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FAMAT31031;;Processamento de Sinais;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise|Aplicação;Meticuloso|Adaptável|Inventivo;;0
Sistemas e Controle;FEELT!SCON;7;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31628;;Redes de Computadores;Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação|Avaliação;Adaptável|Meticuloso|Orientado por Propósito;;0
Redes de Comunicações I;FEELT31724;6;45;15;0;0;60;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!SO;;Redes de Computadores;Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação|Avaliação;Adaptável|Meticuloso|Orientado por Propósito;;0
Teoria da Computação;FEELT!TCOMP;6;45;0;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!AA;;Fundamentos de Sistemas Computacionais|Estruturas de Dados; Algoritmos e Complexidade;Análise|Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise|Aplicação;Meticuloso|Adaptável|Inventivo;0
Arquitetura de Software Aplicada;FEELT!ASA;8;15;45;0;0;60;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!ESOF/FEELT31724;;Fundamentos de Sistemas Computacionais|Estruturas de Dados; Algoritmos e Complexidade;Análise|Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise|Aplicação;Meticuloso|Adaptável|Inventivo;0
Atividades Curriculares de Extensão IV;ACE4;7;0;0;0;60;60;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE3;;;;;;;;0
Empreendedorismo e Inovação;FAGEN39401;5;30;0;0;0;30;True;True;False;A;False;False;False;True;False;True;False;False;False;False;False;;;Gestão de Projetos;Aplicação;Organização e Planejamento de Projetos e Tarefas|Controle e Garantia de Qualidade|Priorização e Gestão de Múltiplas Tarefas|Pensamento Analítico e Crítico;Avaliação|Compreensão|Aplicação|Análise;Adaptável|Responsável|Orientado por Propósito;;0
Redes de Comunicações II;FEELT31831;7;45;15;0;0;60;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31724;;Redes de Computadores;Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação|Avaliação;Adaptável|Meticuloso|Orientado por Propósito;;0
Segurança de Sistemas Computacionais;FEELT!SEG;7;15;0;30;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31724;;Análise e Design de Sistemas|Questões e Princípios de Segurança|Gestão de Dados e Informações;Análise|Aplicação;Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Aplicação|Aplicação;Adaptável|Proativo|Responsável;;0
Apredizagem Profunda e Modelos Generativos;FEELT!APMG;7;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!AMAQ;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0
Disciplinas Optativas;OPT;opt;-1;-1;-1;-1;90;True;False;True;A;False;False;False;False;True;False;False;False;False;False;False;;;;;;;;;0
Engenharia de Contexto em IA Generativa;FEELT!ECIA;8;15;0;30;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!APMG;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0
Projetos de Hardware e Firmware para IOT;FEELT!PHFI;8;0;45;0;0;45;False;False;True;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31523;;Sistemas Embarcados|Internet das Coisas (IoT)|Tecnologia de Sistemas Integrados;Aplicação|Aplicação|Aplicação;Resolução de Problemas e Solução de Erros|Comunicação Oral e Apresentação;Análise|Aplicação;Adaptável|Inventivo|Colaborativo;;1
Engenharia Econômica;IERI39601;8;30;0;0;0;30;True;True;False;A;False;False;False;True;False;True;False;False;False;False;False;;;Gestão de Projetos;Análise;Matemática e Estatística|Organização e Planejamento de Projetos e Tarefas;Aplicação|Avaliação;Adaptável|Orientado por Propósito|Responsável;;0
Memorial de Atividades Curriculares de Extensão;FEELT!MACE;8;0;0;0;30;30;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE4;;;;;;;;0
IA Aplicada à Cibersegurança;FEELT!IACS;8;15;0;30;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!SEG/FEELT!APMG;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0
Atividade Acadêmicas Complementares;AAC;aac;-1;-1;-1;-1;90;True;True;False;A;False;False;False;False;True;False;False;False;False;False;False;;;;;;;;;0
Atividade de Conclusão de Curso;ACC;acc;-1;-1;-1;-1;300;True;True;False;A;False;False;False;True;False;False;False;False;False;False;False;*;;;;;;;;0
Ciências Sociais e Jurídicas;FADIR39901;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Programação Lógica e Inteligência Artificial;FEELT31407;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tecnologias Web e Mobile;FEELT31521;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Design Colaborativo;FEELT31623;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Otimização e Simulação;FEELT31723;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Aprendizagem de Máquina;FEELT!AMAQ;6;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FAMAT31032/FEELT!FIA;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;;0
Cloud Computing Architecture AWS;FEELT!CCAWS;-1;0;0;45;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Projetos Digitais com FPGA;FEELT!FPGA;-1;0;45;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Computação Gráfica RV-RA;FEELT31721;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;FAMAT31022;;;;;;;;1
Computação Evolutiva;FEELT!CEVO;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;FEELT!FIA;;;;;;;;1
Computação Quântica;FEELT!CQUA;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Resolução de Problemas I;FEELT!RP1;-1;0;45;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Resolução de Problemas II;FEELT!RP2;-1;0;45;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Modelos de Linguagem e Agentes de IA;FEELT!MLIA;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Robótica;FEELT31722;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;FEELT!SCON;;;;;;;;1
Explorações em Arquiteturas Computacionais [por tipo];FEELT!EAC;-1;0;45;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Explorações em Linguagens Computacionais [por tipo];FEELT!ELC;-1;30;0;15;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos em Engenharia de Computação TEC30 [por tipo];FEELT!TEC30;-1;-1;-1;-1;-1;30;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos em Engenharia de Computação TEC45 [por tipo];FEELT!TEC45;-1;-1;-1;-1;-1;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos em Engenharia de Computação TEC60 [por tipo];FEELT!TEC60;-1;-1;-1;-1;-1;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos em Engenharia de Computação TEC75 [por tipo];FEELT!TEC75;-1;-1;-1;-1;-1;75;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Perspectivas em Engenharia de Computação PEC30 [por tipo];FEELT!PEC30;-1;-1;-1;-1;-1;30;False;True;False;;;;;;;;;;;;;;;;;;;;;0
Perspectivas em Engenharia de Computação PEC45 [por tipo];FEELT!PEC45;-1;-1;-1;-1;-1;45;False;True;False;;;;;;;;;;;;;;;;;;;;;0
Perspectivas em Engenharia de Computação PEC60 [por tipo];FEELT!PEC60;-1;-1;-1;-1;-1;60;False;True;False;;;;;;;;;;;;;;;;;;;;;0
Perspectivas em Engenharia de Computação PEC75 [por tipo];FEELT!PEC75;-1;-1;-1;-1;-1;75;False;True;False;;;;;;;;;;;;;;;;;;;;;0
Sistemas Embarcados II;FEELT39015;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;FEELT31523;;;;;;;;1
Circuitos Elétricos II;FEELT31403;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Circuitos Elétricos II, Experimental de;FEELT31404;-1;0;30;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Instalações Elétricas;FEELT31603;-1;30;0;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Eletrônica Analógica II;FEELT32502;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;FEELT31401;;;;;;;;1
Eletrônica Analógica II, Experimental de;FEELT31502;-1;0;30;0;0;30;False;False;True;;;;;;;;;;;;;;FEELT32502;;;;;;;1
Redes de Sensores e Internet das Coisas;FEELT39057;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Fontes Renováveis não Convencionais - Técnicas e Aplicações;FEELT39047;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Modelagem e Simulação de Sistemas a Eventos Discretos;FEELT32901;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Compiladores;FACOM39043;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Interação Humano-Computador;GSI037;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Modelagem e Simulação;GBC065;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Inteligência Computacional;GBC073;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Organização e Recuperação da Informação;FACOM32605;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Otimização;GSI027;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
