Nome;Código;PER;CHT;CHP;CHD;CHE;TOT;FLX;OBR;OPT;A|B;EXT;FORM_BAS;FORM_HUM;FORM_TEC;FORM_CMP;CC_UO1;CC_SM2;CC_SAI3;CC_SD4;CC_SF5;CC_HW6;PREQ;CREQ;Elementos41;Níveis41;Elementos42;Níveis42;Disposições;Ementa
Robótica;FEELT31722;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Explorações em Arquiteturas Computacionais [por tipo];FEELT!EAC;-1;0;45;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;
Explorações em Linguagens Computacionais [por tipo];FEELT!ELC;-1;30;0;15;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;
Tópicos em Engenharia de Computação TEC30 [por tipo];FEELT!TEC30;-1;-1;-1;-1;-1;30;False;False;True;;;;;;;;;;;;;;;;;;;;
Tópicos em Engenharia de Computação TEC45 [por tipo];FEELT!TEC45;-1;-1;-1;-1;-1;45;False;False;True;;;;;;;;;;;;;;;;;;;;
Tópicos em Engenharia de Computação TEC60 [por tipo];FEELT!TEC60;-1;-1;-1;-1;-1;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Tópicos em Engenharia de Computação TEC75 [por tipo];FEELT!TEC75;-1;-1;-1;-1;-1;75;False;False;True;;;;;;;;;;;;;;;;;;;;
Perspectivas em Engenharia de Computação PEC30 [por tipo];FEELT!PEC30;-1;-1;-1;-1;-1;30;False;True;False;;;;;;;;;;;;;;;;;;;;
Perspectivas em Engenharia de Computação PEC45 [por tipo];FEELT!PEC45;-1;-1;-1;-1;-1;45;False;True;False;;;;;;;;;;;;;;;;;;;;
Perspectivas em Engenharia de Computação PEC60 [por tipo];FEELT!PEC60;-1;-1;-1;-1;-1;60;False;True;False;;;;;;;;;;;;;;;;;;;;
Perspectivas em Engenharia de Computação PEC75 [por tipo];FEELT!PEC75;-1;-1;-1;-1;-1;75;False;True;False;;;;;;;;;;;;;;;;;;;;
Sistemas Embarcados II;FEELT39015;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Circuitos Elétricos II;FEELT31403;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Circuitos Elétricos II, Experimental de;FEELT31404;-1;0;30;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;
Instalações Elétricas;FEELT31603;-1;30;0;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;
Eletrônica Analógica II;FEELT32502;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Eletrônica Analógica II, Experimental de;FEELT31502;-1;0;30;0;0;30;False;False;True;;;;;;;;;;;;;;;;;;;;
Redes de Sensores e Internet das Coisas;FEELT39057;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Fontes Renováveis não Convencionais - Técnicas e Aplicações;FEELT39047;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Modelagem e Simulação de Sistemas a Eventos Discretos;FEELT32901;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Compiladores;FACOM39043;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Interação Humano-Computador;GSI037;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Modelagem e Simulação;GBC065;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Inteligência Computacional;GBC073;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Organização e Recuperação da Informação;FACOM32605;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Otimização;GSI027;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Otimização;FACOM31601;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Programação Lógica;GBC025;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Programação para Dispositivos Móveis;FACOM32503;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Projeto de Redes de Computadores;GBC219;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Programação Paralela e Distribuída;GSI059;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Criptografia;FACOM39044;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Multimídia;GBC213;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Bioinformática;FACOM39042;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Data Warehouse  ;FACOM39049;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Processamento Digital de Imagens;GSI058;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Processamento Digital de Imagens;FACOM39053;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Programação para Internet;GBC084;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Princípios e Padrões de Projeto;FACOM31401;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Língua Brasileira de Sinais - Libras I;LIBRAS01;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Língua Brasileira de Sinais - Libras II;LIBRAS02;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Sistemas Distribuídos;GBC074;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!SD Sistemas Distribuídos
Sistemas Distribuídos;FACOM32606;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!SD Sistemas Distribuídos
Arquitetura de Redes de Computadores;GBC056;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31724 Redes de Comunicações I
Redes Industriais para Controle e Automação I;FEELT31713;-1;60;15;0;0;75;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31724 Redes de Comunicações I
Arquitetura de Redes TCP/IP;GBC066;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31831 Redes de Comunicações II
Redes Industriais para Controle e Automação II;FEELT32801;-1;30;60;0;0;90;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31831 Redes de Comunicações II
Inteligência Artificial;FACOM39050;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!FIA Fundamentos da Inteligência Artificial
Inteligência Artificial;GBC063;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!FIA Fundamentos da Inteligência Artificial
Gerenciamento de Projetos;FAGEN32502;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FAGEN39401 Empreendorismo e Inovação
Administração;FAGEN39901;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FAGEN39401 Empreendorismo e Inovação
Ciências Econômicas;IERI39001;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;IERI39601 Engenharia Econômica
Ciências Econômicas;IEUFU39901;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;IERI39601 Engenharia Econômica
Programação Funcional;GBC033;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!PF Programação Funcional
Linguagens Formais e Autômatos;GBC044;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!TCOMP Teoria da Computação
Algoritmos e Estrutura de Dados I;FACOM31201;-1;45;15;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!ED Estrutura de Dados
Algoritmos e Estruturas de Dados II;FACOM31303;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!AA Análise de Algoritmos
Gerenciamento de Banco de Dados;GBC053;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Sistemas de Banco de Dados;GBC043;-1;60;30;0;0;90;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!BD Banco de Dados
Sistemas Operacionais;GBC045;-1;60;30;0;0;90;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!SO Sistemas Operacionais
Mineração de Dados;GBC212;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Mineração de Dados;GBC212;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Mineração de Dados;GSI055;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Inteligência Artificial Aplicada aos Negócios;GSI051;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Inteligência Artificial Aplicada aos Negócios;GBC209;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Ciência de Dados I;FACOM32602;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Ciência de Dados II;FACOM32701;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;
Contratos Inteligentes e Segurança Blockchain;FEELT39040O;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;
